"","X","stationID","latitude","longitude","elevation","state","stationName","lcc_x","lcc_y","Xelevation","XlogElev","precip"
"50",477,"USC00022782",33.4192,-111.6444,462.7,"AZ","E MESA                        ",-122.955427366764,-21.2677564740345,462.7,6.15846093779919,0.379178082191781
"51",502,"USC00023448",34.1111,-111.2758,883.9,"AZ","GISELA                        ",-122.487205349556,-20.5699277310896,883.9,6.79559391209381,0.707945205479452
"52",505,"USC00023501",33.3947,-110.7933,1115.6,"AZ","GLOBE #3                      ",-122.182178686295,-21.4292398288533,1115.6,7.02607150580018,0.731780821917808
"53",520,"USC00023668",31.8931,-110.9978,883.9,"AZ","GREEN VALLEY                  ",-122.650224205043,-23.0445870374685,883.9,6.79559391209381,1.14246575342466
"54",531,"USC00023961",34.3925,-110.5581,2008.6,"AZ","HEBER (BLACK MESA) RS         ",-121.785926959818,-20.3721911643653,2008.6,7.61015948080476,0.96969696969697
"55",550,"USC00024453",34.7522,-112.1114,1508.8,"AZ","JEROME                        ",-123.114953726731,-19.7353839054245,1508.8,7.32567582835765,1.00716253443526
"56",553,"USC00024534",31.8353,-110.3553,1429.5,"AZ","KARTCHNER CAVERNS             ",-122.061029011579,-23.208267760327,1429.5,7.27205111005223,0.875414364640884
"57",568,"USC00024761",34.5031,-114.3603,136.9,"AZ","LAKE HAVASU CITY              ",-125.182211338339,-19.6116039624993,136.9,4.98975208317983,0.0879452054794521
"58",575,"USC00024977",33.4992,-112.3631,317,"AZ","LITCHFIELD PARK               ",-123.594933338035,-21.0610102640301,317,5.78996017089725,0.20986301369863
"59",586,"USC00025412",34.1142,-109.8589,2237.2,"AZ","MC NARY 2N                    ",-121.202107310389,-20.7794228649939,2237.2,7.71744027579003,1.22931506849315
"60",596,"USC00025635",34.6106,-111.8381,969.3,"AZ","MONTEZUMA CASTLE NM           ",-122.897788457013,-19.9344540521583,969.3,6.88683803072675,0.494490358126722
"61",614,"USC00025924",31.4553,-110.9681,1054.9,"AZ","NOGALES 6 N                   ",-122.704450200099,-23.5304713989345,1054.9,6.97063617702134,0.92027397260274
"62",617,"USC00026117",32.61,-110.7317,1400.6,"AZ","ORACLE SP                     ",-122.270040104915,-22.2992523388626,1400.6,7.25177042477408,1.11452054794521
"63",623,"USC00026190",35.0681,-109.7689,1755.6,"AZ","PAINTED DESERT NP             ",-120.956586999895,-19.7469556067845,1755.6,7.47624585494253,0.526923076923077
"64",624,"USC00026194",33.0772,-113.0317,173.1,"AZ","PAINTED ROCK DAM              ",-124.292682723035,-21.4058852128502,173.1,5.21003245168046,0.155068493150685
"65",640,"USC00026468",34.7994,-109.885,1659.9,"AZ","PETRIFIED FOREST NP           ",-121.107144200007,-20.0248382754996,1659.9,7.42051902337839,0.271506849315068
"66",653,"USC00026601",34.1239,-109.9219,2194.6,"AZ","PINETOP 2E                    ",-121.257605445819,-20.759749269292,2194.6,7.69830136552921,0.995890410958904
"67",659,"USC00026653",34.1003,-110.9658,1579.8,"AZ","PLEASANT VALLEY               ",-122.208457241675,-20.6300348693605,1579.8,7.37136350113901,0.945205479452055
"68",663,"USC00026796",34.5706,-112.4322,1586.5,"AZ","PRESCOTT                      ",-123.43937130014,-19.8801760224386,1586.5,7.37556901215484,1.01181318681319
"69",665,"USC00026865",33.665,-114.2272,266.7,"AZ","QUARTZSITE                    ",-125.252018030435,-20.5473009793704,266.7,5.62293388679288,0.16456043956044
"70",667,"USC00027036",32.3903,-110.4667,896.1,"AZ","REDINGTON                     ",-122.064716784314,-22.5812268401839,896.1,6.80914967522802,0.657534246575342
"71",673,"USC00027187",32.8117,-111.6314,455.7,"AZ","ROBSON RCH                    ",-123.061775906086,-21.9348144367979,455.7,6.14354164998833,0.324657534246575
"72",688,"USC00027435",34.5172,-109.4028,1764.8,"AZ","SAINT JOHNS                   ",-120.720480927144,-20.4016288365332,1764.8,7.48144301950475,0.601648351648352
"73",700,"USC00027530",32.6014,-110.6339,1054.6,"AZ","SAN MANUEL                    ",-122.181193329042,-22.323795445277,1054.6,6.97035442073866,0.742191780821918
"74",709,"USC00027619",31.4831,-111.5436,1094.2,"AZ","SASABE                        ",-123.238569689259,-23.406316961162,1094.2,7.00687636984994,0.740771349862259
"75",710,"USC00027622",31.6036,-111.6022,1165.9,"AZ","SASABE 7 NW                   ",-123.269973076749,-23.2642837471329,1165.9,7.06978909082937,1.05013698630137
"76",711,"USC00027625",31.5717,-111.5056,1065.3,"AZ","SASABE 6 NNE                  ",-123.185815776063,-23.3152949321441,1065.3,6.98035497139648,0.889315068493151
"77",715,"USC00027716",35.3322,-112.8797,1600.2,"AZ","SELIGMAN                      ",-123.681752497425,-18.974864748697,1600.2,7.38411367386588,0.830027548209366
"78",724,"USC00027855",34.2639,-110.0075,1954.1,"AZ","SHOW LOW AP                   ",-121.310822528757,-20.5939689460729,1954.1,7.58278940411516,0.752328767123288
"79",726,"USC00027880",31.5369,-110.2808,1403.9,"AZ","SIERRA VISTA                  ",-122.04476511761,-23.5479700844886,1403.9,7.2541071225978,0.863186813186813
"80",753,"USC00028396",32.7225,-113.9192,98.8,"AZ","TACNA 3 NE                    ",-125.182423091175,-21.6312006276148,98.8,4.68951133442184,0.133425414364641
"81",755,"USC00028468",36.9233,-109.09,1612.4,"AZ","TEEC NOS POS                  ",-120.044762279879,-17.8078978783716,1612.4,7.39166181339686,0.344383561643836
"82",767,"USC00028619",31.7119,-110.0686,1420.1,"AZ","TOMBSTONE                     ",-121.814799574949,-23.3874187949536,1420.1,7.26549965087889,0.801101928374656
"83",788,"USC00028865",31.5678,-111.0497,995.8,"AZ","TUMACACORI NM                 ",-122.759813377578,-23.3937372071399,995.8,6.91353852373786,0.85
"84",793,"USC00028998",32.1264,-110.7247,908.3,"AZ","VAIL 7 N                      ",-122.352514541726,-22.8313160555228,908.3,6.82252413461948,0.776986301369863
"85",802,"USC00029158",34.9281,-112.8097,1551.4,"AZ","WALNUT CREEK                  ",-123.70371460139,-19.4267275929173,1551.4,7.35333813368619,0.760547945205479
"86",803,"USC00029166",34.3117,-112.562,1147.3,"AZ","WALNUT GROVE                  ",-123.609063140799,-20.1405775082313,1147.3,7.05384498485403,0.737808219178082
"87",811,"USC00029309",34.7056,-113.6125,612.6,"AZ","WIKIEUP                       ",-124.468336437994,-19.5284372940065,612.6,6.43390425800751,0.403581267217631
"88",812,"USC00029334",32.2553,-109.8369,1271,"AZ","WILLCOX                       ",-121.503604392064,-22.8238273821305,1271,7.15539630189673,0.776438356164384
"89",813,"USC00029359",35.2414,-112.1928,2105.9,"AZ","WILLIAMS                      ",-123.08967163807,-19.1886138525184,2105.9,7.65723553288224,0.918732782369146
"90",822,"USC00029464",33.7775,-112.5231,513,"AZ","WITTMANN 1SE                  ",-123.683546853765,-20.7299580525203,513,6.25958146406492,0.461369863013699
"91",837,"USC00030006",35.0236,-94.1594,207.3,"AR","ABBOTT                        ",-106.844976378871,-20.7795690594463,207.3,5.38127888726238,5.09123287671233
"92",838,"USC00030064",35.9308,-91.055,78.6,"AR","ALICIA 2NNE                   ",-104.079104664582,-19.681563288525,78.6,4.48413185761104,3.60356164383562
"93",840,"USC00030130",34.7961,-92.8417,212.8,"AR","ALUM FK                       ",-105.641289798476,-21.0035047127629,212.8,5.40627450805313,4.33835616438356
"94",843,"USC00030178",34.0275,-93.4333,91.4,"AR","ANTOINE 1 SW                  ",-106.159082426799,-21.8708362032801,91.4,4.61907309115708,3.66739726027397
"95",848,"USC00030240",34.025,-91.3444,59.1,"AR","ARKANSAS POST                 ",-104.238442158508,-21.8048346971351,59.1,4.23555473077362,3.79338842975207
"96",849,"USC00030286",33.6194,-94.0994,97.5,"AR","ASHDOWN 4 SSE                 ",-106.76407002591,-22.3365804831093,97.5,4.67749084756772,3.44109589041096
"97",852,"USC00030326",35.2894,-91.3533,59.4,"AR","AUGUSTA                       ",-104.312774375956,-20.4044131411715,59.4,4.23988686751276,3.56630136986301
"98",856,"USC00030458",35.8306,-91.7944,174,"AR","BATESVILLE LVSTK              ",-104.736769095639,-19.8231997226812,174,5.21493575760899,3.15917808219178
"99",857,"USC00030460",35.7594,-91.6383,88.4,"AR","BATESVILLE L&D 1              ",-104.593249163657,-19.8959348895171,88.4,4.58904080405821,3.53835616438356
"100",866,"USC00030582",34.5675,-92.6006,94.5,"AR","BENTON                        ",-105.413371459552,-21.2498396475763,94.5,4.64918707140487,4.01671232876712
"101",874,"USC00030724",34.2872,-93.1444,152.4,"AR","BISMARCK 2 SE                 ",-105.901304241056,-21.5758322395217,152.4,5.09006242772758,5.01561643835616
"102",875,"USC00030746",36.1367,-91.1172,101.8,"AR","BLACK ROCK                    ",-104.146161776809,-19.4566269476872,101.8,4.716711560721,3.53922651933702
"103",876,"USC00030764",34.5697,-93.1947,129.8,"AR","BLAKELY MTN DAM               ",-105.955841946412,-21.2637836688826,129.8,4.94021282979971,4.11232876712329
"104",877,"USC00030798",35.1161,-93.6506,129.8,"AR","BLUE MTN DAM                  ",-106.385399741744,-20.6682280970018,129.8,4.94021282979971,3.85082872928177
"105",880,"USC00030814",34.3267,-94.4122,358.1,"AR","BOGG SPRINGS                  ",-107.063995005064,-21.5558386438615,358.1,5.90835464038498,3.84986225895317
"106",884,"USC00030832",35.0931,-93.9258,182.9,"AR","BOONEVILLE 3 SSE              ",-106.634392934529,-20.698807663486,182.9,5.26217191991168,3.71150684931507
"107",891,"USC00031021",36.3694,-92.5772,224,"AR","BULL SHOALS 1 S               ",-105.459327743037,-19.2536310410659,224,5.4553211153577,2.45193370165746
"108",894,"USC00031120",36.0214,-91.3783,88.4,"AR","CALAMINE                      ",-104.373394408916,-19.5954498903022,88.4,4.58904080405821,2.87479452054795
"109",895,"USC00031132",36.1092,-92.1636,106.7,"AR","CALICO ROCK 2 WSW             ",-105.079846595856,-19.5282444251926,106.7,4.75960653929251,3.11123287671233
"110",906,"USC00031310",35.3353,-92.5653,203.9,"AR","CENTER RIDGE 3 S              ",-105.409958663376,-20.3979894227338,203.9,5.36550861608836,3.96712328767123
"111",912,"USC00031457",35.5328,-93.4036,259.1,"AR","CLARKSVILLE 6 NE              ",-106.172875104459,-20.2013700404663,259.1,5.59508305773286,3.73178082191781
"112",919,"USC00031596",35.1033,-92.4903,95.1,"AR","CONWAY                        ",-105.333280544893,-20.6526447661508,95.1,4.65491227788291,4.00328767123288
"113",925,"USC00031750",34.6886,-92.45,108.2,"AR","CRYSTAL VALLEY                ",-105.28061025246,-21.1108892459246,108.2,4.772378104972,4.38044077134986
"114",930,"USC00031829",35.4033,-92.3828,207.3,"AR","DAMASCUS 2 NNE                ",-105.247773947432,-20.3169343267369,207.3,5.38127888726238,3.84613259668508
"115",931,"USC00031834",35.0375,-93.3947,114.3,"AR","DANVILLE                      ",-106.151281649741,-20.7499207061046,114.3,4.82269799851667,4.16904109589041
"116",932,"USC00031838",35.2342,-93.1675,112.8,"AR","DARDANELLE                    ",-105.951064431373,-20.526615375131,112.8,4.81055701571304,3.6227397260274
"117",934,"USC00031910",34.2531,-93.1486,149.4,"AR","DEGRAY LAKE SP                ",-105.904115457004,-21.6137639464683,149.4,5.07141676635611,4.3986301369863
"118",935,"USC00031935",35.7214,-92.6961,530.4,"AR","DENNARD 10 WSW                ",-105.542005337011,-19.9743502229035,530.4,6.29230960608604,4.94547945205479
"119",936,"USC00031948",34.0464,-94.3481,124.1,"AR","DEQUEEN                       ",-107.000834837013,-21.8660737899789,124.1,4.89858579028763,4.05359116022099
"120",955,"USC00032366",36.0803,-91.6147,156.7,"AR","EVENING SHADE 1 NNE           ",-104.587800610212,-19.5399438743352,156.7,5.11619578975675,3.28328767123288
"121",960,"USC00032540",33.8228,-92.3989,70.1,"AR","FORDYCE                       ",-105.199762193907,-22.0694211723196,70.1,4.38327585407431,4.44246575342466
"122",961,"USC00032544",33.7222,-94.3975,128.9,"AR","FOREMAN                       ",-107.041338454955,-22.2266398338732,128.9,4.9337542497603,3.36602739726027
"123",972,"USC00032794",35.9886,-92.7161,184.7,"AR","GILBERT                       ",-105.569508552049,-19.6791371657185,184.7,5.27145991237815,2.7241095890411
"124",990,"USC00033132",36.2747,-91.5056,121.9,"AR","HARDY                         ",-104.500053022996,-19.320531617995,121.9,4.88204405972327,3.38677685950413
"125",991,"USC00033164",36.1956,-93.1061,345,"AR","HARRISON                      ",-105.92521381555,-19.4605056026967,345,5.87211778947542,2.84849315068493
"126",994,"USC00033229",35.5128,-91.9956,94.5,"AR","HEBER SPRINGS 2 NE            ",-104.903171374739,-20.1824187268648,94.5,4.64918707140487,3.84383561643836
"127",997,"USC00033242",34.5211,-90.59,59.4,"AR","HELENA                        ",-103.575880003541,-21.2194853774743,59.4,4.23988686751276,4.32912087912088
"128",1000,"USC00033361",36.2769,-93.8214,435.9,"AR","HINDSVILLE 10NNE              ",-106.565988209661,-19.3858249954446,435.9,6.10009471163343,3.06225895316804
"129",1001,"USC00033428",33.7092,-93.5564,114.3,"AR","HOPE 3 NE                     ",-106.264193134626,-22.2268415283187,114.3,4.82269799851667,4.23994490358127
"130",1002,"USC00033438",34.3608,-93.6817,219.5,"AR","HOPPER                        ",-106.395527082473,-21.5062645401463,219.5,5.4359030295006,4.09205479452055
"131",1013,"USC00033734",35.8489,-90.6589,94.5,"AR","JONESBORO 2 NE                ",-103.719412644312,-19.7534413417369,94.5,4.64918707140487,4.64419889502762
"132",1017,"USC00033831",33.7703,-91.2731,44.2,"AR","KELSO                         ",-104.15932945511,-22.0841737377018,44.2,3.9926809084456,3.98684931506849
"133",1018,"USC00033862",34.6033,-91.9928,70.4,"AR","KEO                           ",-104.860175809243,-21.1897318402089,70.4,4.38701417618492,4.3972602739726
"134",1024,"USC00034010",34.8511,-92.4889,93,"AR","LAKE MAUMELLE                 ",-105.322313197659,-20.9320337292561,93,4.63472898822964,4.32164383561644
"135",1026,"USC00034060",34.3119,-93.8439,235,"AR","LANGLEY                       ",-106.54298531029,-21.563583872224,235,5.50125821054473,4.66280991735537
"136",1027,"USC00034106",36.4194,-92.9158,253,"AR","LEAD HILL                     ",-105.762673737659,-19.2079177701432,253,5.57215403217776,2.88791208791209
"137",1030,"USC00034185",33.3614,-93.5675,103.6,"AR","LEWISVILLE                    ",-106.265627160785,-22.6133580291796,103.6,4.73268350628705,3.44356164383562
"138",1035,"USC00034290",35.5194,-93.1972,174,"AR","LONG POOL                     ",-105.986441473304,-20.2114171836332,174,5.21493575760899,3.93835616438356
"139",1043,"USC00034562",34.3947,-92.8364,91.4,"AR","MALVERN                       ",-105.622723815208,-21.4483725001563,91.4,4.61907309115708,4.4439226519337
"140",1044,"USC00034572",36.4947,-91.535,153,"AR","MAMMOTH SPRING                ",-104.537270703639,-19.0784151540801,153,5.09375020080676,2.97287671232877
"141",1045,"USC00034625",34.8808,-92.3486,82.9,"AR","MARCHE                        ",-105.195921621007,-20.8945971902127,82.9,4.53152364581979,4.91643835616438
"142",1046,"USC00034638",34.7392,-90.7664,71.3,"AR","MARIANNA 2 S                  ",-103.749835271975,-20.9867320773186,71.3,4.39814601655377,4.22684931506849
"143",1048,"USC00034666",35.9117,-92.6564,289.9,"AR","MARSHALL                      ",-105.513244050305,-19.7625174332692,289.9,5.70344908575496,3.3441095890411
"144",1054,"USC00034746",36.0822,-91.9822,152.4,"AR","MELBOURNE 5W                  ",-104.91648707603,-19.551746962442,152.4,5.09006242772758,2.75027624309392
"145",1055,"USC00034756",34.5978,-94.29,351.1,"AR","MENA                          ",-106.95650262896,-21.2535266270658,351.1,5.88915492828341,4.05780821917808
"146",1061,"USC00034936",33.3014,-92.3658,27.4,"AR","MORO BAY SP                   ",-105.148371829297,-22.6471661057028,27.4,3.62167070442049,3.87205479452055
"147",1062,"USC00034938",35.1581,-92.7672,103.6,"AR","MORRILTON                     ",-105.586174710298,-20.600256449163,103.6,4.73268350628705,3.71424657534247
"148",1064,"USC00034989",34.5061,-93.6256,269.1,"AR","MT IDA 4S                     ",-106.347731924159,-21.3439798832084,269.1,5.63157014054228,3.92947658402204
"149",1067,"USC00035036",36.3458,-92.3939,243.8,"AR","MTN HOME 1 NNW                ",-105.2950930703,-19.2740678628457,243.8,5.53654655528029,2.63698630136986
"150",1069,"USC00035046",35.8444,-92.0978,218.2,"AR","MTN VIEW                      ",-105.009592316823,-19.8190031064097,218.2,5.43022243742798,3.57315068493151
"151",1073,"USC00035079",34.0783,-93.7019,140.2,"AR","MURFREESBORO 1W               ",-106.407332865107,-21.8200988402766,140.2,5.01196773933003,5.16950549450549
"152",1075,"USC00035112",33.9294,-93.8583,121.9,"AR","NASHVILLE                     ",-106.547849461563,-21.9883087645708,121.9,4.88204405972327,4.02712328767123
"153",1081,"USC00035186",35.6042,-91.2744,69.5,"AR","NEWPORT                       ",-104.258239552229,-20.0526038461725,69.5,4.37575702166029,3.62465753424658
"154",1083,"USC00035200",34.9553,-93.1594,146.3,"AR","NIMROD DAM                    ",-105.935290634123,-20.8354586405435,146.3,5.05177723742743,4.30303867403315
"155",1088,"USC00035428",36.4311,-93.2044,420.3,"AR","OMAHA 2S.                     ",-106.020009014064,-19.202272753234,420.3,6.06448263984455,2.9
"156",1093,"USC00035514",35.6464,-93.4347,587.7,"AR","OZONE                         ",-106.203963628643,-20.076237582929,587.7,6.39308895583021,3.96438356164384
"157",1095,"USC00035563",36.0336,-90.4978,82.3,"AR","PARAGOULD 1S                  ",-103.586577879625,-19.5411601094126,82.3,4.52504414150881,3.86685082872928
"158",1103,"USC00035754",34.2256,-92.0186,70.1,"AR","PINE BLUFF                    ",-104.867009078475,-21.6093846421252,70.1,4.38327585407431,5.21917808219178
"159",1104,"USC00035760",34.5833,-93.9011,256,"AR","PINE RIDGE                    ",-106.601167387035,-21.2635658355971,256,5.5834963087817,3.73856749311295
"160",1106,"USC00035820",36.2642,-90.9683,96,"AR","POCAHONTAS 1                  ",-104.020432560907,-19.3089050213317,96,4.66343909411207,3.64917127071823
"161",1111,"USC00035908",33.8203,-93.3878,93.9,"AR","PRESCOTT 2 NNW                ",-106.11153009991,-22.0997817623145,93.9,4.64342889810518,4.10876712328767
"162",1121,"USC00036253",33.8103,-91.2778,45.7,"AR","ROHWER 2 NNE                  ",-104.165795423412,-22.0400141686382,45.7,4.01998014693324,4.39668508287293
"163",1126,"USC00036380",36.4547,-90.1458,91.4,"AR","SAINT FRANCIS                 ",-103.300073219449,-19.0573285031253,91.4,4.61907309115708,3.32904109589041
"164",1127,"USC00036393",35.8236,-93.7672,423.7,"AR","ST PAUL 1 E                   ",-106.507267606968,-19.8867133433432,423.7,6.07235305084132,3.9958904109589
"165",1128,"USC00036403",36.3561,-91.8036,207.3,"AR","SALEM                         ",-104.769592852666,-19.2421580718029,207.3,5.38127888726238,2.68575342465753
"166",1129,"USC00036506",35.2678,-91.7167,70.1,"AR","SEARCY                        ",-104.640135247963,-20.4431795484206,70.1,4.38327585407431,4.5172602739726
"167",1130,"USC00036562",34.3019,-92.3914,76.2,"AR","SHERIDAN                      ",-105.211864983952,-21.5377024950503,76.2,4.45667017766965,4.09424657534247
"168",1136,"USC00036768",33.9153,-92.8267,51.8,"AR","SPARKMAN                      ",-105.597368360953,-21.9799149163887,51.8,4.12390336446365,4.40690607734807
"169",1152,"USC00037383",34.3828,-94.3608,344.1,"AR","VANDERVOORT 1 ENE             ",-107.017776817006,-21.4929484117448,344.1,5.86957935911786,3.90109589041096
"170",1156,"USC00037488",34.9228,-94.0944,218.2,"AR","WALDRON                       ",-106.784072371225,-20.8903215304551,218.2,5.43022243742798,4.06438356164384
"171",1172,"USC00037970",35.7692,-92.8697,565.4,"AR","WITTS SPRING                  ",-105.699666494664,-19.9263371679902,565.4,6.35506545111745,3.64793388429752
"172",1174,"USC00038052",35.2547,-90.7964,79.2,"AR","WYNNE                         ",-103.807592007529,-20.4175095253905,79.2,4.49088103958596,4.15041095890411
"173",1177,"USC00040010",38.2178,-121.2014,26.5,"CA","ACAMPO 5NE                    ",-130.108501971949,-14.1518110464116,26.5,3.59731226058845,0.954794520547945
"174",1180,"USC00040029",41.1936,-120.9447,1278.6,"CA","ADIN RS                       ",-128.989501895821,-11.0488148029244,1278.6,7.16131163670454,1.14438356164384
"175",1191,"USC00040144",34.1822,-118.1383,343.5,"CA","ALTADENA                      ",-128.634603004951,-19.180364405778,343.5,5.86788348533663,0.698630136986301
"176",1194,"USC00040176",34.5592,-115.7442,197.5,"CA","AMBOY                         ",-126.404943585982,-19.2827177064427,197.5,5.33513133967075,0.0991735537190083
"177",1196,"USC00040192",33.8647,-117.8425,71.6,"CA","ANAHEIM                       ",-128.45644603007,-19.5884668907044,71.6,4.40182926197006,0.313150684931507
"178",1213,"USC00040379",37.0919,-119.5128,637,"CA","AUBERRY 2 NW                  ",-129.018587643575,-15.7487146498958,637,6.4723462945009,1.32547945205479
"179",1225,"USC00040444",35.4186,-119.0508,143.3,"CA","BAKERSFIELD 5 NW              ",-129.096513443688,-17.6451876255979,143.3,5.03239678587777,0.310468319559229
"180",1242,"USC00040673",37.0856,-122.0797,128,"CA","BEN LOMOND #4                 ",-131.199906936918,-15.1362688772907,128,4.92725368515721,2.35041095890411
"181",1250,"USC00040693",37.8744,-122.2606,94.5,"CA","BERKELEY                      ",-131.100866107373,-14.2548393541876,94.5,4.64918707140487,1.42191780821918
"182",1256,"USC00040741",34.2431,-116.9169,2058.3,"CA","BIG BEAR LAKE                 ",-127.529918530015,-19.3820786921995,2058.3,7.63448229280528,0.794490358126722
"183",1263,"USC00040798",34.2947,-118.1886,709,"CA","BIG TUJUNGA DAM FC46          ",-128.648715202845,-19.0480139976671,709,6.57786135772105,0.868493150684931
"184",1275,"USC00040931",39.3886,-120.0936,1699.3,"CA","BOCA                          ",-128.837930218504,-13.1651653905576,1699.3,7.44383920896222,1.56794520547945
"185",1279,"USC00040983",33.2558,-116.4036,246.9,"CA","BORREGO DESERT PARK           ",-127.319899639183,-20.5579870618099,246.9,5.54868690411584,0.0753424657534247
"186",1305,"USC00041149",40.8669,-121.8464,1158.2,"CA","BUCKHORN                      ",-129.81320345878,-11.1854337093424,1158.2,7.06321938160621,3.85753424657534
"187",1306,"USC00041159",39.9372,-121.3147,576.4,"CA","BUCKS CREEK                   ",-129.673011237,-12.2983250205994,576.4,6.37400215057244,3.56465753424658
"188",1311,"USC00041194",34.1867,-118.3481,199.6,"CA","BURBANK VALLEY PUMP PLT       ",-128.820060626023,-19.128112474649,199.6,5.34520095244689,0.50027397260274
"189",1320,"USC00041253",34.5822,-119.9817,242.3,"CA","CACHUMA LAKE                  ",-130.153681655632,-18.3210728711313,242.3,5.53061885564701,0.64958904109589
"190",1334,"USC00041424",32.6264,-116.47,801.6,"CA","CAMPO                         ",-127.539024490665,-21.2256228019345,801.6,6.69900760795166,0.484383561643836
"191",1335,"USC00041428",38.2486,-120.8433,200.6,"CA","CAMP PARDEE                   ",-129.800069782136,-14.2048265432837,200.6,5.34996059969987,1.39424657534247
"192",1346,"USC00041534",36.4806,-121.7244,146.3,"CA","CARMEL VALLEY                 ",-131.088832201933,-15.8678292461699,146.3,5.05177723742743,0.857808219178082
"193",1365,"USC00041700",40.3033,-121.2422,1380.7,"CA","CHESTER                       ",-129.5013959457,-11.9264808385274,1380.7,7.23756249648457,1.81698630136986
"194",1368,"USC00041738",33.6617,-115.7206,520,"CA","CHIRIACO SUMMIT               ",-126.602225116621,-20.2594097502887,520,6.27287700654617,0.0298630136986301
"195",1372,"USC00041758",32.64,-117.0858,17.1,"CA","CHULA VISTA                   ",-128.097033153634,-21.077897835358,17.1,3.29953372788566,0.212054794520548
"196",1390,"USC00041879",37.2119,-119.69,676,"CA","COARSEGOLD 4SE                ",-129.13485837009,-15.5797998390033,676,6.53087762772588,0.995890410958904
"197",1397,"USC00041907",40.4,-122.1433,128,"CA","COLEMAN FISHERIES STN         ",-130.199744512106,-11.6091089201566,128,4.92725368515721,1.79945205479452
"198",1400,"USC00041912",39.0911,-120.9481,725.4,"CA","COLFAX                        ",-129.631489333083,-13.284034320002,725.4,6.60041456886717,3.04082191780822
"199",1401,"USC00041916",39.3308,-121.1922,181.4,"CA","COLGATE POWERHOUSE            ",-129.759303435348,-12.9715068892684,181.4,5.25436547901885,2.74739726027397
"200",1403,"USC00041948",39.1875,-122.0269,15.2,"CA","COLUSA 2 SSW                  ",-130.489705242354,-12.9220892244088,15.2,3.22684399451738,0.707671232876712
"201",1408,"USC00041967",37.9833,-122.0692,12.2,"CA","CONCORD WWTP                  ",-130.906283972626,-14.187528734926,12.2,3.10009228887823,0.958516483516483
"202",1420,"USC00042090",34.0917,-117.88,185,"CA","COVINA CITY YARD FC387B       ",-128.428937997784,-19.3355988576489,185,5.27299955856375,0.458677685950413
"203",1437,"USC00042239",32.9897,-116.5872,1414.3,"CA","CUYAMACA                      ",-127.553650069045,-20.8071749458033,1414.3,7.26143574394054,1.03342465753425
"204",1442,"USC00042294",38.535,-121.7761,18.3,"CA","DAVIS 2 WSW EXP FARM          ",-130.488312874604,-13.6752905545596,18.3,3.34286180464919,0.886263736263736
"205",1445,"USC00042319",36.4622,-116.8669,-59.1,"CA","DEATH VALLEY                  ",-126.916119984978,-17.0002063077221,0,2.30258509299405,0.0515068493150685
"206",1446,"USC00042327",33.6514,-116.3764,365.8,"CA","DEEP CANYON LAB               ",-127.195855699679,-20.135555886996,365.8,5.92905708697937,0.108767123287671
"207",1458,"USC00042402",39.8717,-121.6108,826,"CA","DE SABLA                      ",-129.934457993089,-12.2974403732293,826,6.7286286130847,3.63150684931507
"208",1468,"USC00042500",39.5633,-120.8239,888.5,"CA","DOWNIEVILLE                   ",-129.38611979052,-12.8109978145903,888.5,6.80072670622361,4.14465753424658
